speaker,date,location,source,date.ind
trump,21/07/2016,"Cleveland, Ohio (RNC)",http://www.politico.com/story/2016/07/full-transcript-donald-trump-nomination-acceptance-speech-at-rnc-225974,1
trump,26/07/2016,remarks at the Veterans of Foreign Wars National Convention,https://www.donaldjtrump.com/press-releases/remarks-at-the-veterans-of-foreign-wars-national-convention,2
clinton,29/07/2016,"DNC, Philadelphia",https://www.hillaryclinton.com/speeches/remarks-at-the-democratic-national-convention/,3
clinton,29/07/2016,"Hatfield, Pensylvania",https://www.hillaryclinton.com/speeches/remarks-on-american-manufacturing-jobs-in-hatfield-pennsylvania/,3
clinton,29/07/2016,"Philadelphia, Pennsylvania.   ",https://www.hillaryclinton.com/speeches/remarks-on-jobs-and-infrastructure-in-philadelphia-pennsylvania/,3
clinton,30/07/2016,"Johnstown, Pennsylvania",https://www.hillaryclinton.com/speeches/remarks-contrasting-100-day-jobs-plan-with-trumps-record-of-outsourcing-in-johnstown-pennsylvania/,4
clinton,30/07/2016,"Pittsburgh, Pennsylvania  ",https://www.hillaryclinton.com/speeches/remarks-on-building-a-21st-century-economy-in-pittsburgh-pennsylvania/,4
clinton,30/07/2016,"Youngstown, Ohio. ",https://www.hillaryclinton.com/speeches/remarks-on-manufacturing-and-jobs-in-youngstown-ohio/,4
clinton,31/07/2016,"Columbus, Ohio",https://www.hillaryclinton.com/speeches/remarks-on-the-economy-in-columbus-ohio/,5
clinton,01/08/2016,"Omaha, Nebraska",https://www.hillaryclinton.com/speeches/remarks-on-economic-policy-with-warren-buffett-in-omaha-nebraska/,6
clinton,03/08/2016,"Commerce City, Colorado",https://www.hillaryclinton.com/speeches/remarks-on-strengthening-economy-and-protecting-public-lands-in-commerce-city-colorado/,7
clinton,04/08/2016,"Las Vegas, Nevada",https://www.hillaryclinton.com/speeches/remarks-on-100-day-jobs-plan-in-las-vegas-nv/,8
clinton,05/08/2016,"Washington, D.C",https://www.hillaryclinton.com/speeches/remarks-on-criminal-justice-and-immigration-reform-in-washington-d-c/,9
clinton,08/08/2016,"St. Petersburg, Florida ",https://www.hillaryclinton.com/speeches/remarks-small-businesses-and-creating-jobs-in-st-petersburg-fl/,10
trump,15/08/2016,"Youngstown, Ohio",http://heavy.com/news/2016/08/read-donald-trump-full-transcript-speech-foreign-policy-address-remarks-prepared-august-15/,11
trump,16/08/2016,nan,https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-in-milwaukee-wisconsin,12
trump,18/08/2016,"Charlotte, North Caroline",https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-in-charlotte-nc,13
trump,20/08/2016,Virginia,https://www.donaldjtrump.com/press-releases/trump-speech-in-virginia,14
trump,23/08/2016,Texas,https://www.donaldjtrump.com/press-releases/donald-trump-remarks-on-new-clinton-corruption-revelations-border-security,15
trump,24/08/2016,"Tampa, Florida",https://www.donaldjtrump.com/press-releases/donald-j.-trump-addresses-third-world-corruption-of-hrc,16
trump,25/08/2016,New Hampshire,https://www.donaldjtrump.com/press-releases/donald-j.-trump-addresses-clinton-corruption-and-her-sabotage-of-the-inner,17
clinton,25/08/2016,"Reno, Nevada",https://www.hillaryclinton.com/speeches/remarks-on-trumps-prejudice-and-paranoia-in-reno-nv/,17
trump,27/08/2016,Iowa,https://www.donaldjtrump.com/press-releases/in-iowa-donald-trump-offers-vision-of-hope-for-the-powerless-and-disenfranc,18
trump,30/08/2016,Washington,https://www.donaldjtrump.com/press-releases/trump-party-of-lincoln-promises-hope-to-every-forgotten-stretch-of-america,19
trump,31/08/2016,"Phoenix, Arizona",https://www.donaldjtrump.com/press-releases/donald-j.-trump-address-on-immigration,20
clinton,31/08/2016,"Cincinnati, Ohio",https://www.hillaryclinton.com/speeches/remarks-to-the-american-legion-in-cincinnati-oh/,20
trump,03/09/2016,Detroit,https://www.donaldjtrump.com/press-releases/icymi-donald-j.-trump-visits-great-faith-international-ministries-in-detroi,21
trump,06/09/2016,North Carolina,https://www.donaldjtrump.com/press-releases/trump-speech-clinton-email-corruption-disqualifies-her-from-seeking-preside,22
trump,07/09/2016,nan,https://www.donaldjtrump.com/press-releases/donald-j.-trump-military-readiness-remarks,23
trump,08/09/2016,nan,https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-on-school-choice,24
clinton,08/09/2016,"Kansas City, Missouri",https://www.hillaryclinton.com/speeches/remarks-at-the-national-baptist-convention-in-kansas-city-mo/,24
clinton,08/09/2016,"Charlotte, North Carolina",https://www.hillaryclinton.com/speeches/remarks-of-hillary-clinton-at-a-voter-registration-event-in-charlotte-nc/,24
trump,09/09/2016,Washington,https://www.donaldjtrump.com/press-releases/donald-trump-calls-for-inner-city-school-choice-in-speech-to-values-voters,25
clinton,15/09/2016,remarks to the Congressional Hispanic Caucus Institute ,https://www.hillaryclinton.com/speeches/remarks-on-trumps-birtherism-and-divisive-rhetoric-at-the-congressional-hispanic-caucus-institute/,26
clinton,16/09/2016,"Greensboro, NC",https://www.hillaryclinton.com/speeches/remarks-in-greensboro-nc/,27
clinton,16/09/2016,"Washington, D.C.",https://www.hillaryclinton.com/speeches/remarks-on-trumps-bigotry-at-the-black-womens-agenda-symposium/,27
clinton,19/09/2016,"Washington, D.C.",https://www.hillaryclinton.com/speeches/remarks-at-the-congressional-black-caucus-dinner-in-washington-d-c/,28
clinton,19/09/2016,"Temple, Philadelphia",https://www.hillaryclinton.com/speeches/in-philadelphia-clinton-tells-millennials-she-will-have-their-back-as-president/,28
clinton,21/09/2016,Orlando,https://www.hillaryclinton.com/speeches/remarks-in-orlando-on-protecting-the-rights-of-people-with-disabilities/,29
clinton,30/09/2016,"Port St. Lucie, Florida",https://www.hillaryclinton.com/speeches/remarks-in-florida-on-a-renewed-commitment-to-national-service/,30
trump,03/10/2016,"Loveland, Co",https://www.donaldjtrump.com/press-releases/donald-j.-trump-remarks-in-loveland-co,31
clinton,03/10/2016,"Charlotte, North Carolina",https://www.hillaryclinton.com/speeches/remarks-in-charlotte-north-carolina/,31
clinton,11/10/2016,"Miami, Florida",https://www.hillaryclinton.com/speeches/remarks-alongside-al-gore-in-miami-on-climate-change/,32
trump,15/10/2016,Maine,https://www.donaldjtrump.com/press-releases/trump-slams-hillary-for-open-trade-and-open-borders-pledges-jobs-jobs-jobs,33
trump,20/10/2016,Ohio,https://www.donaldjtrump.com/press-releases/donald-j.-trump-proposes-american-desk-protect-economic-and-national-intere,34
trump,25/10/2016,Florida,https://www.donaldjtrump.com/press-releases/in-florida-trump-blasts-obamacare-and-proposes-real-change-that-will-put-am,35
trump,26/10/2016,Charlotte,https://www.donaldjtrump.com/press-releases/in-charlotte-trump-proposes-economic-renewal-for-americas-inner-cities1,36
trump,27/10/2016,Ohio,https://www.donaldjtrump.com/press-releases/in-ohio-trump-blasts-obamacare1,37
trump,29/10/2016,Arizona,https://www.donaldjtrump.com/press-releases/in-colorado-trump-vows-to-make-america-just-again,38
trump,29/10/2016,Washington,https://www.donaldjtrump.com/press-releases/in-colorado-donald-j.-trump-pledges-to-end-the-corruption-in-washington,38
trump,30/10/2016,Nevada,https://www.donaldjtrump.com/press-releases/in-nevada-trump-bashes-washington-corruption-and-proposes-real-change,39
trump,31/10/2016,Michigan,https://www.donaldjtrump.com/press-releases/in-michigan-donald-trump-outlines-his-urban-renewal-agenda-promises-to-brin,40
